ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,VARNAME_2,NL_NAME_2,HASC_2,CC_2,TYPE_2,ENGTYPE_2,VALIDFR_2,VALIDTO_2,REMARKS_2,Shape_Leng,Shape_Area
"157",MWI,Malawi,"1962",Lilongwe,"22808",SC Tsabango,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.49529820942,0.00576457411
"157",MWI,Malawi,"1962",Lilongwe,"22809",TA Chadza,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.24446888639,0.03118406902
"157",MWI,Malawi,"1962",Lilongwe,"22810",TA Chimutu,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.06066884890,0.03365240965
"157",MWI,Malawi,"1962",Lilongwe,"22811",TA Chiseka,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,2.05786613680,0.13319221688
"157",MWI,Malawi,"1962",Lilongwe,"22812",TA Chitukula,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.48356299448,0.00991296987
"157",MWI,Malawi,"1962",Lilongwe,"22813",TA Kabudula,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.13602156116,0.04492020072
"157",MWI,Malawi,"1962",Lilongwe,"22814",TA Kalolo,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.34856633158,0.05096872578
"157",MWI,Malawi,"1962",Lilongwe,"22815",TA Kalumba,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.30181982927,0.00400906742
"157",MWI,Malawi,"1962",Lilongwe,"22816",TA Kalumbu,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.69499403826,0.01677153226
"157",MWI,Malawi,"1962",Lilongwe,"22817",TA Khongoni,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.27037419139,0.04760924507
"157",MWI,Malawi,"1962",Lilongwe,"22818",TA Malili,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.04525606891,0.02612946986
