"Year","Visit_date","District","School","Long","Lat","Test","Age","Num_sampled_Sh","Num_pos_Sh","Shprev","Num_sampled_Sman","Num_pos_Sman","Smanprev","Num_sampled_anySCH","Num_pos_anySCH","anySCHprev","Num_sampled_Asc","Num_pos_Asc","Ascprev","Num_sampled_Hkw","Num_pos_Hkw","Hkwprev","Num_sampled_Tri","Num_pos_Tri","Triprev","Num_sampled_anySTH","Num_pos_anySTH","anySTHprev"
2012,NA,"CHIRAD","MOMBEZI",35.29269,-15.7114,"KK/UF","1214",30,20,0.666666666666667,30,0,0,30,20,0.666666666666667,30,0,0,29,2,NA,30,0,0,30,2,0.0666666666666667
2012,NA,"CHIRAD","MULUMA",35.232335,-15.603605,"KK/UF","1114",30,13,0.433333333333333,30,26,0.866666666666667,30,26,0.866666666666667,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"CHIRAD","NAMADIDI",35.29558,-15.875115,"KK/UF","1114",30,12,0.4,30,6,0.2,30,14,0.466666666666667,29,0,NA,30,0,0,29,0,NA,30,0,0
2012,NA,"CHIRAD","NAMITAMBO",35.26199,-15.84265,"KK/UF","1014",30,12,0.4,30,0,0,30,12,0.4,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"CHIRAD","NAMITHI PRIMARY SCHOOL",35.114575,-15.591455,"KK/UF","1014",30,3,0.1,30,0,0,30,3,0.1,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"CHIRAD","NDUNDE CCAP",35.24312,-15.69866,"KK/UF","1114",30,16,0.533333333333333,30,2,0.0666666666666667,30,17,0.566666666666667,30,0,0,30,2,0.0666666666666667,30,0,0,30,2,0.0666666666666667
2012,NA,"CHIRAD","NGULUDI  BOYS  PRIMARY S",35.16827,-15.80009,"KK/UF","1014",30,5,0.166666666666667,30,2,0.0666666666666667,30,6,0.2,29,0,NA,30,2,0.0666666666666667,30,0,0,30,2,0.0666666666666667
2012,NA,"CHIRAD","NGULUDI GIRLS PRIMARY SC",35.169115,-15.8003,"KK/UF","1014",30,3,0.1,30,0,0,30,3,0.1,30,0,0,30,2,0.0666666666666667,30,0,0,30,2,0.0666666666666667
2012,NA,"CHIRAD","PIM PRIMARY",35.19269,-15.75419,"KK/UF","1014",30,14,0.466666666666667,30,0,0,30,14,0.466666666666667,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"CHIRAD","ZAONE",35.11116,-15.83715,"KK/UF","1014",30,3,0.1,30,0,0,30,3,0.1,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"LILONG","AMWIRI PRIMARY",33.443675,-14.157055,"KK/UF","1013",30,12,0.4,30,0,0,30,12,0.4,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"LILONG","CHANKHANDWE F.P. SCHOOL",33.6582,-14.26648,"KK/UF","1013",30,7,0.233333333333333,30,3,0.1,30,7,0.233333333333333,30,0,0,30,3,0.1,30,0,0,30,3,0.1
2012,NA,"LILONG","CHIGODI PRIMARY SCHOOL",34.05754,-14.06694,"KK/UF","1114",30,0,0,30,0,0,30,0,0,30,2,0.0666666666666667,30,0,0,30,0,0,30,2,0.0666666666666667
2012,NA,"LILONG","CHIKHUTU PRIMARY FULL PR",33.68216,-13.74844,"KK/UF","1115",30,0,0,30,0,0,30,0,0,30,0,0,30,2,0.0666666666666667,30,0,0,30,2,0.0666666666666667
2012,NA,"LILONG","CHIMGONERA PRIMARY",33.550555,-14.158295,"KK/UF","1014",30,4,0.133333333333333,30,0,0,30,4,0.133333333333333,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"LILONG","CHIMVITE PRIMARY",33.58151,-14.018665,"KK/UF","1013",30,2,0.0666666666666667,30,0,0,30,2,0.0666666666666667,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"LILONG","CHINSAPO PRIMARY SCHOOL",33.731255,-14.01278,"KK/UF","1014",30,4,0.133333333333333,30,3,0.1,30,6,0.2,30,0,0,30,2,0.0666666666666667,30,0,0,30,2,0.0666666666666667
2012,NA,"LILONG","CHIPALA PRIMARY SCHOOL",33.772475,-13.904685,"KK/UF","1014",30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"LILONG","CHITEDZE LEA",33.647105,-13.983375,"KK/UF","1014",30,4,0.133333333333333,30,0,0,30,4,0.133333333333333,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"LILONG","CHIUNJIZA F.P. SCHOOL",33.729685,-14.19226,"KK/UF","0915",30,6,0.2,30,0,0,30,6,0.2,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"LILONG","DZAMA F.P. SCHOOL",33.28447,-13.85599,"KK/UF","1115",30,9,0.3,30,2,0.0666666666666667,30,9,0.3,30,0,0,30,5,0.166666666666667,30,0,0,30,5,0.166666666666667
2012,NA,"LILONG","DZENZA PRIMARY",33.74628,-13.87827,"KK/UF","0915",30,2,0.0666666666666667,30,6,0.2,30,6,0.2,30,1,0.0333333333333333,30,1,0.0333333333333333,30,0,0,30,1,0.0333333333333333
2012,NA,"LILONG","FALLS BAPTIST PRIMARY",33.787235,-14.0031,"KK/UF","1014",30,3,0.1,30,3,0.1,30,4,0.133333333333333,30,0,0,30,2,0.0666666666666667,30,0,0,30,2,0.0666666666666667
2012,NA,"LILONG","GOME PRIMARY",33.59167,-13.957935,"KK/UF","1014",30,10,0.333333333333333,30,0,0,30,10,0.333333333333333,30,0,0,30,0,0,30,0,0,30,0,0
2012,NA,"LILONG","GULULE PRIMARY SCHOOL",33.80751,-14.09272,"KK/UF","1014",30,0,0,30,0,0,30,0,0,30,3,0.1,30,0,0,30,0,0,30,3,0.1
