"Year","District","School","Long","Lat","Test","Age","Shprev","Smanprev","anySCHprev"
2017,"MACHINGA","Limera School",35.70482387,-14.90719808,"KK/UF","1014",0.0666666666666667,0,0.0666666666666667
2017,"MACHINGA","Madziabango School",35.3451581,-15.08953707,"KK/UF","1114",0.166666666666667,0,0.166666666666667
2017,"MACHINGA","Makwera School",35.68027639,-14.79095368,"KK/UF","1114",0.0333333333333333,0,0.0333333333333333
2017,"MACHINGA","Mgwiriza School",35.57641563,-14.89485005,"KK/UF","1014",0.0666666666666667,0,0.0666666666666667
2017,"MACHINGA","Msewe Primary School",35.60813308,-14.84319245,"KK/UF","1014",0.0333333333333333,0,0.0333333333333333
2017,"MACHINGA","Namandanje School",35.48059462,-14.88332128,"KK/UF","1014",0.1,0,0.1
2017,"MACHINGA","Nambweso School",35.77165962,-14.77110143,"KK/UF","1014",0.233333333333333,0,0.233333333333333
2017,"MACHINGA","Nanyumbu School",35.56997635,-14.85150867,"KK/UF","1114",0.133333333333333,0,0.133333333333333
2017,"MACHINGA","Ntangaye School",35.39751821,-14.7827137,"KK/UF","1114",0.133333333333333,0,0.133333333333333
2017,"MACHINGA","Ntapwa School",35.43083551,-14.87860934,"KK/UF","1014",0.1,0,0.1
2017,"MACHINGA","St Therese School",35.22692239,-15.06114746,"KK/UF","1013",0.133333333333333,0,0.133333333333333
2017,"MCHINJI","Chafuta",33.007297,-13.65466719,"KK/UF","1013",0.0333333333333333,0,0.0333333333333333
2017,"MCHINJI","Chigumba School",33.24306801,-13.82227418,"KK/UF","1014",0.1,0,0.1
2017,"MCHINJI","Chimteka II",33.21433081,-13.77112129,"KK/UF","1014",0,0,0
2017,"MCHINJI","Diti School",33.12652257,-13.56052393,"KK/UF","1014",0,0,0
2017,"MCHINJI","Kalanzi School",33.08840261,-13.93784211,"KK/UF","1014",0,0,0
2017,"MCHINJI","Kamangilira School",33.21183892,-13.71968265,"KK/UF","1014",0.0333333333333333,0,0.0333333333333333
2017,"MCHINJI","Kamuzu LEA School",32.89199252,-13.78963555,"KK/UF","1014",0.037037037037037,0,0.037037037037037
2017,"MCHINJI","Kanongo School",33.33262054,-13.99594476,"KK/UF","1014",0,0,0
2017,"MCHINJI","Katutula School",32.97557512,-13.44046811,"KK/UF","1013",0,0,0
2017,"MCHINJI","Kavumbwa LEA",33.2249687,-13.67392151,"KK/UF","1014",0,0,0
2017,"MCHINJI","Lameke School",32.98106131,-13.55372145,"KK/UF","1014",0.1,0,0.1
2017,"MCHINJI","Lombwa School",33.06339052,-13.47763004,"KK/UF","1014",0.1,0,0.1
2017,"MCHINJI","Manthalu School",33.19837045,-13.86686932,"KK/UF","1014",0,0,0
2017,"MCHINJI","Matimba School",33.21761112,-13.79307198,"KK/UF","1014",0,0,0
2017,"MCHINJI","Mikundi School",33.13887006,-13.70714043,"KK/UF","1014",0,0,0
2017,"MCHINJI","Mndomba School",33.05798723,-13.37282589,"KK/UF","1014",0.0333333333333333,0,0.0333333333333333
2017,"MCHINJI","Msemwe School",33.1655133,-13.83245264,"KK/UF","1013",0,0,0
2017,"MCHINJI","Mzura School",32.94035162,-13.79811832,"KK/UF","1014",0.0666666666666667,0,0.0666666666666667
2017,"MCHINJI","Ngoza School",32.92111078,-13.53401757,"KK/UF","1014",0,0,0
2017,"MCHINJI","Sunama School",32.99201156,-13.49069707,"KK/UF","1014",0.0666666666666667,0,0.0666666666666667
2017,"MCHINJI","Thomasi School",33.22693544,-13.69408802,"KK/UF","1014",0.0333333333333333,0,0.0333333333333333
